EAN;Título;Autor;Editorial;Ejemplares;PVP;Precio liquidación;Valor total;Hecho
'9798986510439;DIAGNÓSTICO INCIERTO;ALFREDO ALONSO ESTENOZ;ALFREDO ALONSO ESTENOZ;2;18,00;17,10;36,00;
'9788411483582;1080 RECETAS DE COCINA;ORTEGA KLEIN, SIMONE;ALIANZA EDITORIAL;2;35,95;34,15;71,90;
'9788420699158;VALORES TERAPÉUT. YOGA;VÁZQUEZ DÍEZ, JOSÉ MANUEL;ALIANZA EDITORIAL;4;17,95;17,05;71,80;
'9788420686523;SIGNIFICADO ARTES VISUAL;PANOFSKY, ERWIN;ALIANZA EDITORIAL;2;33,50;31,82;67,00;
'9788420682198;DESVESTIDAS;REYERO, CARLOS;ALIANZA EDITORIAL;2;31,95;30,35;63,90;
'9788411487603;FRACTAL;TRAPIELLO, ANDRÉS;ALIANZA EDITORIAL;2;30,50;28,97;61,00;
'9788413625829;SANTIAGO RAMÓN Y CAJAL;CÁNOVAS SÁNCHEZ, FRANCISCO;ALIANZA EDITORIAL;2;28,95;27,50;57,90;
'9788491818854;SALIR DEL CAOS;KEPEL, GILLES;ALIANZA EDITORIAL;2;27,50;26,12;55,00;
'9788413628646;ULISES;JOYCE, JAMES;ALIANZA EDITORIAL;2;26,50;25,17;53,00;
'9788411481151;EL ÚLTIMO COYOTE [ADN];CONNELLY, MICHAEL;ALIANZA EDITORIAL;4;12,50;11,88;50,00;
'9788411483995;LOS VIRTUOSOS;KHADRA, YASMINA;ALIANZA EDITORIAL;2;24,95;23,70;49,90;
'9788411487641;EL SEÑOR DE LAS MOSCAS [;GOLDING, WILLIAM;ALIANZA EDITORIAL;2;24,50;23,27;49,00;
'9788411489836;LOS DIABLOS;ABERCROMBIE, JOE;ALIANZA EDITORIAL;2;24,50;23,27;49,00;
'9788413627076;UNA BIOGRAFÍA DE LA SOLE;ALBERTI, FAY BOUND;ALIANZA EDITORIAL;2;24,50;23,27;49,00;
'9788420688893;DISEÑO DE EXPOSICIONES;"ALONSO FERNÁNDEZ, LUIS;GARCÍA FERNÁNDEZ, ISABEL";ALIANZA EDITORIAL;2;24,50;23,27;49,00;
'9788491047261;ORGULLO Y PREJUICIO ED.I;AUSTEN, JANE;ALIANZA EDITORIAL;2;24,50;23,27;49,00;
'9788411481489;MAÑANA, Y MAÑANA, Y MAÑA;ZEVIN, GABRIELLE;ALIANZA EDITORIAL;2;23,50;22,32;47,00;
'9788491811664;REVOLUCIÓN IMAG. PARIS;SEIDMAN, MICHAEL;ALIANZA EDITORIAL;2;22,95;21,80;45,90;
'9788411487627;EL CASO DE MARGARITA LAN;"VELASCO OLIAGA, JAVIER;VENTOSA, MAUDY";ALIANZA EDITORIAL;2;22,50;21,38;45,00;
'9788413627274;LAS HORAS OSCURAS (ADN);CONNELLY, MICHAEL;ALIANZA EDITORIAL;2;22,50;21,38;45,00;
'9788420669601;CONTRAPOSICIONES;CANDELA, IRIA;ALIANZA EDITORIAL;2;22,50;21,38;45,00;
'9788420651248;LIDERAZGO: HECHO FICCION;"MOLERO, FERNANDO;MORALES, JOSÉ FRANCISCO";ALIANZA EDITORIAL;2;21,95;20,85;43,90;
