EAN;Título;Autor;Editorial;Ejemplares;PVP;Valor total;Hecho
'9788411481427;SEÑALES EN LA NOCHE (ADN;SHAPIRO, DANI;ALIANZA EDITORIAL;1;19,95;19,95;
'9788413620787;LOS SERES HUECOS (ADN);"TORO, GUILLERMO DEL;HOGAN,";ALIANZA EDITORIAL;1;19,95;19,95;
'9788413626901;MUERDEALMAS (ADN);ÁLVAREZ, SANTIAGO;ALIANZA EDITORIAL;1;18,95;18,95;
'9788491812937;UN BAÑO DE BOSQUE;BRISBARE, ÉRIC;ALIANZA EDITORIAL;1;18,95;18,95;
'9788413622316;ELIMINADOS (ADN);COSTILLA, FERNANDO;ALIANZA EDITORIAL;1;18,95;18,95;
'9788413627625;VEINTE AÑOS DE SOL (ADN);CRUZ, EVA;ALIANZA EDITORIAL;1;18,95;18,95;
'9788413629506;PIEL DE DERIVA;FARIAS, PAULA;ALIANZA EDITORIAL;1;18,95;18,95;
'9788491818816;CARTAS DESDE EL GULAG;IORDACHE, LUIZA;ALIANZA EDITORIAL;1;18,95;18,95;
'9788413622231;LO QUE TE PERSIGUE (ADN);MONTOYA, ÓSCAR;ALIANZA EDITORIAL;1;18,95;18,95;
'9788411483971;SELECCIÓN AUTOMÁTICA;MOTOYA, YUKIKO;ALIANZA EDITORIAL;1;18,95;18,95;
'9788413622170;EL GRAN ROJO (ADN);OLMO, BENITO;ALIANZA EDITORIAL;1;18,95;18,95;
'9788413628240;LA MANIOBRA DE LA TORTUG;OLMO, BENITO;ALIANZA EDITORIAL;1;18,95;18,95;
'9788491816324;EL ESTIGMA SOCIAL;QUILES DEL CASTILLO, MARÍA;ALIANZA EDITORIAL;1;18,95;18,95;
'9788420645735;POESÍAS REUNIDAS 1909-19;ELIOT, T. S.;ALIANZA EDITORIAL;1;18,50;18,50;
'9788411486576;PASIÓN NAILS;IZQUIERDO, ROSARIO;ALIANZA EDITORIAL;1;18,50;18,50;
'9788413624747;ZOZOBRAR (ADN);LAFON, LOLA;ALIANZA EDITORIAL;1;18,45;18,45;
'9788491810230;DÍAS SIN FINAL (ADN);BARRY, SEBASTIAN;ALIANZA EDITORIAL;1;17,95;17,95;
'9788413622026;FANTASMAS AZULES (ADN);FARIAS, PAULA;ALIANZA EDITORIAL;1;17,95;17,95;
'9788491814382;DE OTRO LUGAR (ADN);MONTOYA, ÓSCAR;ALIANZA EDITORIAL;1;17,95;17,95;
'9788413624808;LA CAPACIDAD DE AMAR DEL;MUÑOZ-RENGEL, JUAN JACINTO;ALIANZA EDITORIAL;1;17,95;17,95;
'9788491810933;HOY TODO SERÁ DISTINTO;SEMPLE, MARIA;ALIANZA EDITORIAL;1;17,95;17,95;
'9788491818151;POLICÍA (ADN);BORIS, HUGO;ALIANZA EDITORIAL;1;16,95;16,95;
'9788411488587;LA BRUJA;MICHELET, JULES;ALIANZA EDITORIAL;1;15,95;15,95;
'9788491048831;EL LÁPIZ MÁGICO MALALA;YOUSAFZAI, MALALA;ALIANZA EDITORIAL;1;15,95;15,95;
'9788411486330;EL ÚLTIMO ARGUMENTO DE L;ABERCROMBIE, JOE;ALIANZA EDITORIAL;1;14,90;14,90;
'9788411487061;LA SABIDURÍA DE LAS MULT;ABERCROMBIE, JOE;ALIANZA EDITORIAL;1;14,90;14,90;
'9788491047940;ARCHIVO SHERLOCK HOLMES;DOYLE, ARTHUR CONAN;ALIANZA EDITORIAL;1;14,90;14,90;
'9788411485821;LORD JIM;CONRAD, JOSEPH;ALIANZA EDITORIAL;1;13,95;13,95;
'9788413623979;LO QUE EL DÍA DEBE A LA;KHADRA, YASMINA;ALIANZA EDITORIAL;1;13,95;13,95;
'9788413623993;LOS ÁNGELES MUEREN POR N;KHADRA, YASMINA;ALIANZA EDITORIAL;1;13,95;13,95;
'9788413624013;LA ECUACIÓN DE LA VIDA;KHADRA, YASMINA;ALIANZA EDITORIAL;1;13,95;13,95;
'9788413621425;GRUPO DE NOCHE;MADRID, JUAN;ALIANZA EDITORIAL;1;13,95;13,95;
'9788491048244;ENSAYO SOBRE LIBERTADES;ARON, RAYMOND;ALIANZA EDITORIAL;1;12,95;12,95;
'9788413625669;LA MEDIDA. SANTA JUANA D;BRECHT, BERTOLT;ALIANZA EDITORIAL;1;12,95;12,95;
'9788413625676;LA MADRE. CABEZAS REDOND;BRECHT, BERTOLT;ALIANZA EDITORIAL;1;12,95;12,95;
'9788491817086;PIEZAS EN UN ACTO;BRECHT, BERTOLT;ALIANZA EDITORIAL;1;12,95;12,95;
'9788413621746;CUATRO CUARTETOS;ELIOT, T. S.;ALIANZA EDITORIAL;1;12,95;12,95;
'9788420656397;CUERPOS Y OFRENDAS;FUENTES, CARLOS;ALIANZA EDITORIAL;1;12,95;12,95;
'9788491811114;SOBRE LA VIOLENCIA;ARENDT, HANNAH;ALIANZA EDITORIAL;1;11,95;11,95;
'9788413628097;DESOBEDIENCIA CIVIL;ARENDT, HANNAH;ALIANZA EDITORIAL;1;11,95;11,95;
'9788413628103;LA MENTIRA EN POLÍTICA;ARENDT, HANNAH;ALIANZA EDITORIAL;1;11,95;11,95;
'9788491812166;HISTORIAS DE ALMANAQUE;BRECHT, BERTOLT;ALIANZA EDITORIAL;1;11,95;11,95;
'9788411481137;ECHO PARK [ADN];CONNELLY, MICHAEL;ALIANZA EDITORIAL;1;11,95;11,95;
'9788411487160;EL DUELO;CONRAD, JOSEPH;ALIANZA EDITORIAL;1;11,95;11,95;
'9788420677668;LA MORTAJA;DELIBES, MIGUEL;ALIANZA EDITORIAL;1;11,95;11,95;
'9788491816447;INTRUSIÓN [ADN].;FRENCH, TANA;ALIANZA EDITORIAL;1;11,95;11,95;
'9788411486361;CUENTOS;MONTERROSO, AUGUSTO;ALIANZA EDITORIAL;1;11,95;11,95;
'9788411489829;RELATO SOÑADO;SCHNITZLER, ARTHUR;ALIANZA EDITORIAL;1;11,95;11,95;
'9788491040712;ANTOLOGÍA POÉTICA;UNAMUNO, MIGUEL DE;ALIANZA EDITORIAL;1;11,95;11,95;
'9788420614281;1080 RECETAS DE COCINA;;ALIANZA EDITORIAL;1;5,00;5,00;
'9788412520552;ADONDE VOY SIEMPRE ES DE NOCHE;ESQUINCA AZCÁRATE, BERNARDO;ALMADIA ALJOSAN S.R.L.U.;1;20,00;20,00;
'9788412520569;YO MATÉ A UN PERRO EN RUMANÍA;ULLOA DONOSO, CLAUDIA;ALMADIA ALJOSAN S.R.L.U.;1;19,90;19,90;
'9788412690033;TRANSPORTE A LA INFANCIA;CARTAS, FRIDA;ALMADIA ALJOSAN S.R.L.U.;1;19,76;19,76;
'9788412520538;MEJOR QUE FICCIÓN;CARRIÓN GÁLVEZ, JORGE;ALMADIA ALJOSAN S.R.L.U.;1;19,00;19,00;
'9788412690088;CIUDAD LÁSER;CORREA, MARIANTUÁ;ALMADIA ALJOSAN S.R.L.U.;1;19,00;19,00;
'9788412690040;RETROFUTURISMOS;VARIOS AUTORES;ALMADIA ALJOSAN S.R.L.U.;1;19,00;19,00;
'9788412852707;PERIFERIA;DEL ÁNGEL, DIANA;ALMADIA ALJOSAN S.R.L.U.;1;18,00;18,00;
'9788412957174;EL CORAZÓN HABITANTE;TARAZONA, DANIELA;ALMADIA ALJOSAN S.R.L.U.;1;17,90;17,90;
'9788412852752;RITUALES PARA LA AMISTAD;"BARRERA, JAZMINA; LICEAGA,";ALMADIA ALJOSAN S.R.L.U.;1;12,00;12,00;
'9788410526488;FRANCISCO DE ASÍS DE BORBÓN, EL REY CONSORTE;MATEOS SAINZ DE MEDRANO,;ALMUZARA;1;25,95;25,95;
'9788418481062;EL MAL OSCURO;BERTO, GIUSEPPE;ALTAMAREA EDICIONES;1;22,90;22,90;
'9788419583383;EL INFORME PENKSE;RUBIO HANCOCK, JAIME;ALTAMAREA EDICIONES;1;20,90;20,90;
'9788419583567;UN SIGLO CUESTA ARRIBA;USALL, RAMÓN;ALTAMAREA EDICIONES;1;20,90;20,90;
'9788419583550;NO ES FIERA PARA DOMAR;PATO, IGNACIO;ALTAMAREA EDICIONES;1;19,90;19,90;
'9788419583222;ARQUEROS, ILUSIONISTAS Y GOLEADORES;SORIANO, OSVALDO;ALTAMAREA EDICIONES;1;19,90;19,90;
'9788418481321;FUTBOLÍTICA;USALL, RAMÓN;ALTAMAREA EDICIONES;1;19,90;19,90;
'9788419583376;MILENA Q.;GIOBBI, ELISA;ALTAMAREA EDICIONES;1;18,90;18,90;
'9788412204278;MIENTRAS PUDIMOS;HERRÁN DE VIU, PABLO;ALTAMAREA EDICIONES;1;18,90;18,90;
