EAN;Título;Autor;Editorial;Stk. Total;Stock eur;PVP
9788413431994;LOS VIAJES: JAPÓN;ANNO, MITSUMASA;KALANDRAKA;1;16,00;16,00
9788498956122;EL CANTAR DE LOS CANTARES;ANÓNIMO;VISOR;1;14,00;14,00
9788471666352;LA VIDA DE LAZARILLO DE TORMES;ANÓNIMO;LAURA TEDESCO;1;6,00;6,00
9781849540018;TRUST;ANTHONY SELDON;BITEBACK;1;5,00;5,00
9788418694820;ATILA DEL SUR,EL;ANTONA,SANTIAGO;VALPARAÍSO EDICIONES;1;12,00;12,00
9788495379184;ESPAÑA;ANTONIO DOMINGUEZ ORTIZ;LAURA TEDESCO;1;6,00;6,00
9788430595327;ANTONIO MACHADO PARA NIÑOS;"ANTONIO MACHADO;JOSÉ MORÁN";SUSAETA;1;15,95;15,95
9789200041402;TUS PASOS EN LA ESCALERA;ANTONIO MUÑOZ MOLINA;LAURA TEDESCO;1;6,00;6,00
9788492608881;LIMÓN;ANTONIO RUBIO Y ÓSCAR VILLÁN;KALANDRAKA;1;9,50;9,50
9788492608812;ÁRBOL;ANTONIO RUBIO Y ÓSCAR VILLÁN;KALANDRAKA;1;9,50;9,50
9788494504327;BORDERLANDS - LA FRONTERA 7ªED;ANZALDUA,GLORIA;CAPITÁN SWING LIBROS;1;20,00;20,00
9788418945915;COMPASES TIEMPO BOLSILLO;APARICIO VINSONNEAU, BIANCA;CONTRALUZ EDITORIAL;4;59,60;14,90
9788475220352;ANTOLOGÍA;APOLLINAIRE, GUILLAUME;VISOR;1;14,00;14,00
9788418504419;MUERTE FELIZ DE WILLIAM CARLOS WILLIAMS,LA;APONTE ALSINA,MARTA;CANDAYA,S.L;1;16,00;16,00
9781847921758;THE MYTH OF THE STRONG LEADER;ARCHIE BROWN;LAURA TEDESCO;1;5,00;5,00
9788418504587;NUEVAS EMERGENCIAS;"ARENAS SEPULVEDA ; BROWN";CANDAYA,S.L;1;18,00;18,00
9788418504464;Y ERAN UNA SOLA SOMBRA;ARENAS SEPULVEDA, ISABEL-;CANDAYA,S.L;1;17,00;17,00
9788419583482;NOSOTROS, REFUGIADOS;ARENDT, HANNAH;ALTAMAREA EDICIONES;2;23,80;11,90
9788491811114;SOBRE LA VIOLENCIA;ARENDT, HANNAH;ALIANZA EDITORIAL;1;11,95;11,95
9788413628097;DESOBEDIENCIA CIVIL;ARENDT, HANNAH;ALIANZA EDITORIAL;1;11,95;11,95
9788413628103;LA MENTIRA EN POLÍTICA;ARENDT, HANNAH;ALIANZA EDITORIAL;1;11,95;11,95
9788420647715;ORIGENES DEL TOTALITARIS;ARENDT, HANNAH;ALIANZA EDITORIAL;1;44,95;44,95
9788437626406;MASCULINIDADES EN TELA D;ARESTI, NEREA;EDICIONES CÁTEDRA;1;20,50;20,50
9788494733123;EL CRIADOR DE GORILAS;ARLT, ROBERTO;ENEIDA;1;12,50;12,50
9789873874178;TERRIBLE;ARLT,ROBERTO;INTERZONA;1;9,90;9,90
9788491048244;ENSAYO SOBRE LIBERTADES;ARON, RAYMOND;ALIANZA EDITORIAL;1;12,95;12,95
9788475220017;UNA TEMPORADA EN EL INFIERNO;ARTHUR RIMBAUD;VISOR;2;24,00;12,00
9788410299634;ISLA DE LA MUJER DORMIDA, LA;ARTURO PEREZ-REVERTE;ALFAGUARA;1;22,90;22,90
9788420462462;UN DÍA DE CÓLERA;ARTURO PÉREZ-REVERTE;ALFAGUARA;1;21,90;21,90
